Time,HR,Temp,BVP,x,y,z
00:00:00,83,40.41,64,32,32,32
00:00:01,84,40.41,0,37,58,49
00:00:02,72,40.41,0,14,50,45
00:00:03,84.33,40.41,0,2,38,20
00:00:04,79,40.41,0,8,41,16
00:00:05,78.2,40.41,0,0,47,9
00:00:06,74.83,40.41,0,-5,48,12
00:00:07,75.29,40.41,0,-13,49,24
00:00:08,76.12,40.41,0,-20,54,32
00:00:09,76.89,40.37,0,-31,64,36
00:00:10,77.2,40.37,0,-34,76,34
00:00:11,77.45,40.37,0,-28,72,43
00:00:12,77.33,40.37,0.01,-22,57,55
00:00:13,77.23,40.33,0.01,-14,51,58
00:00:14,77.07,40.33,0,-15,41,58
00:00:15,76.93,40.33,-0.03,-13,41,62
00:00:16,76.81,40.33,-0.05,-12,36,60
00:00:17,76.76,40.33,-0.05,-9,34,61
00:00:18,76.78,40.33,0,-11,37,57
00:00:19,76.84,40.33,0.13,-11,36,60
00:00:20,76.95,40.33,0.36,-10,36,64
00:00:21,77.1,40.29,0.66,-7,40,60
00:00:22,77.27,40.29,1.01,3,45,54
00:00:23,77.35,40.29,1.37,6,46,53
00:00:24,77.42,40.29,1.72,5,50,42
00:00:25,77.56,40.23,2.06,10,47,39
00:00:26,77.81,40.23,2.4,2,44,36
00:00:27,78.07,40.23,2.79,0,23,48
00:00:28,78.29,40.23,3.24,2,15,45
00:00:29,78.45,40.18,3.8,-6,30,9
00:00:30,78.47,40.18,4.42,2,41,6
00:00:31,78.55,40.18,5.06,5,46,28
00:00:32,78.59,40.18,5.66,14,56,20
00:00:33,78.85,40.18,6.2,5,88,45
00:00:34,79.06,40.18,6.68,-16,72,87
00:00:35,79.29,40.18,7.15,9,57,62
00:00:36,79.58,40.18,7.68,-1,54,43
00:00:37,79.78,40.13,8.31,1,35,55
00:00:38,79.95,40.13,9.14,11,36,55
00:00:39,80.1,40.13,10.09,8,36,51
00:00:40,80.25,40.13,11.04,11,33,51
00:00:41,80.39,40.09,11.88,7,34,42
00:00:42,80.52,40.09,12.56,6,32,41
00:00:43,80.67,40.09,13.14,3,38,44
00:00:44,80.89,40.09,13.76,3,41,47
00:00:45,81.16,40.07,14.65,1,42,54
00:00:46,81.43,40.07,15.96,-13,35,41
00:00:47,81.72,40.07,17.91,35,48,53
00:00:48,82,40.07,20.32,15,34,52
00:00:49,82.27,40.05,22.9,2,32,51
00:00:50,82.44,40.05,25.38,12,21,40
00:00:51,82.59,40.05,27.58,10,22,39
00:00:52,82.73,40.05,29.57,-7,18,56
00:00:53,82.83,40.03,31.68,-15,28,59
00:00:54,82.93,40.03,34.32,-16,23,55
00:00:55,82.98,40.03,37.81,-7,28,63
00:00:56,83.02,40.03,42.54,9,56,57
00:00:57,83.07,39.97,48.15,4,40,66
00:00:58,83.03,39.97,54.1,-7,28,61
00:00:59,83,39.97,59.83,-31,28,59
00:01:00,83,39.97,64.97,-24,28,51
00:01:01,83.02,39.83,69.58,-11,30,55
00:01:02,83.45,39.83,74.14,-20,30,60
00:01:03,83.08,39.83,79.34,-20,23,66
00:01:04,83.52,39.83,85.71,-16,12,61
00:01:05,83.73,39.65,93.76,-16,8,63
00:01:06,84.23,39.65,103,-15,9,64
00:01:07,84.38,39.65,112.62,-10,3,64
00:01:08,84.47,39.65,121.73,-9,-1,66
00:01:09,84.53,39.61,129.77,-7,-9,65
00:01:10,84.65,39.61,136.75,-6,-11,68
00:01:11,84.77,39.61,143.3,-3,-13,66
00:01:12,84.95,39.61,150.75,0,-14,64
00:01:13,85.13,39.55,157.77,-5,-7,61
00:01:14,85.32,39.55,166.64,-8,-3,60
00:01:15,85.5,39.55,177.95,-7,1,62
00:01:16,85.68,39.55,191.79,-7,2,65
00:01:17,85.85,39.55,206.97,-7,3,64
00:01:18,86,39.55,220.57,-6,4,64
00:01:19,86.15,39.55,228.25,-5,3,63
00:01:20,86.3,39.55,225.36,-3,4,63
00:01:21,86.45,39.59,208.53,-3,6,63
00:01:22,86.58,39.59,176.87,-5,6,62
00:01:23,86.77,39.59,132.76,-6,4,61
00:01:24,86.95,39.59,80.05,-7,4,62
00:01:25,87.08,39.77,23.07,-7,4,62
00:01:26,87.13,39.77,-34.95,-7,4,62
00:01:27,87.17,39.77,-92.44,-8,3,65
00:01:28,87.22,39.77,-149.16,-7,3,65
00:01:29,87.28,39.73,-205.23,-8,3,65
00:01:30,87.4,39.73,-260.37,-7,4,63
00:01:31,87.48,39.73,-313.73,-7,4,62
00:01:32,87.57,39.73,-363.86,-7,5,61
00:01:33,87.55,39.77,-409.8,-6,4,61
00:01:34,87.57,39.77,-450.86,-7,5,61
00:01:35,87.58,39.77,-486.43,-8,6,62
00:01:36,87.53,39.77,-515.64,-6,7,63
00:01:37,87.53,39.81,-537.09,-7,7,64
00:01:38,87.55,39.81,-549.04,-6,7,65
00:01:39,87.58,39.81,-549.74,-6,7,65
00:01:40,87.62,39.81,-538.09,-6,7,65
00:01:41,87.63,39.79,-513.87,-7,7,65
00:01:42,87.65,39.79,-478.28,-5,6,64
00:01:43,87.62,39.79,-433.42,-6,6,64
00:01:44,87.52,39.79,-381.93,-4,6,65
00:01:45,87.37,39.73,-326.43,-5,4,64
00:01:46,87.2,39.73,-269.18,-5,4,62
00:01:47,86.98,39.73,-211.9,-3,6,62
00:01:48,86.77,39.73,-155.85,0,2,63
00:01:49,86.55,39.68,-102.07,2,2,63
00:01:50,86.4,39.68,-51.41,4,-3,62
00:01:51,86.27,39.68,-4.85,5,-1,64
00:01:52,86.13,39.68,36.73,5,0,63
00:01:53,86.03,39.63,72.69,2,1,62
00:01:54,85.95,39.63,102.73,1,2,61
00:01:55,85.9,39.63,127.01,2,2,62
00:01:56,85.88,39.63,146.03,2,3,63
00:01:57,85.85,39.61,160.5,1,2,62
00:01:58,85.9,39.61,171.14,1,2,63
00:01:59,85.95,39.61,178.55,1,1,64
00:02:00,85.97,39.61,183.16,0,1,64
00:02:01,85.95,39.61,185.23,-1,1,63
00:02:02,85.9,39.61,185,-1,1,63
00:02:03,85.83,39.61,182.75,-2,2,64
00:02:04,85.73,39.61,178.81,-2,1,62
00:02:05,85.65,39.57,173.6,-2,1,63
00:02:06,85.55,39.57,167.54,-1,1,65
00:02:07,85.47,39.57,160.96,0,1,65
00:02:08,85.38,39.57,154.12,6,2,64
00:02:09,85.32,39.53,147.15,5,2,65
00:02:10,85.25,39.53,140.14,3,3,65
00:02:11,85.2,39.53,133.11,3,4,64
00:02:12,85.13,39.53,126.12,-3,5,64
00:02:13,85.05,39.47,119.23,-4,5,64
00:02:14,84.92,39.47,112.5,-2,6,62
00:02:15,84.78,39.47,106.01,-5,6,62
00:02:16,84.63,39.47,99.82,-7,5,60
00:02:17,84.48,39.47,93.95,-4,5,61
00:02:18,84.32,39.47,88.43,-2,7,59
00:02:19,84.12,39.47,83.26,-2,8,58
00:02:20,83.9,39.47,78.44,-5,11,58
00:02:21,83.67,39.41,74,-4,11,60
00:02:22,83.45,39.41,69.94,1,11,67
00:02:23,83.25,39.41,66.26,1,9,67
00:02:24,83.07,39.41,63,1,7,68
00:02:25,82.9,39.41,60.14,-1,6,64
00:02:26,82.75,39.41,57.68,-3,5,63
00:02:27,82.6,39.41,55.61,-3,5,61
00:02:28,82.45,39.41,53.91,-3,5,61
00:02:29,82.32,39.39,52.54,-3,5,61
00:02:30,82.2,39.39,51.43,-4,5,62
00:02:31,82.07,39.39,50.47,-4,5,64
00:02:32,81.93,39.39,49.53,-4,5,65
00:02:33,81.78,39.39,48.47,-4,5,65
00:02:34,81.63,39.39,47.08,-5,5,65
00:02:35,81.48,39.39,45.22,-5,4,64
00:02:36,81.38,39.39,42.72,-5,4,64
00:02:37,81.27,39.34,39.47,-4,4,63
00:02:38,81.15,39.34,35.42,-4,4,63
00:02:39,81.03,39.34,30.59,-4,3,63
00:02:40,80.93,39.34,25.04,-3,3,63
00:02:41,80.88,39.31,18.93,-3,3,63
00:02:42,80.83,39.31,12.47,-3,3,64
00:02:43,80.83,39.31,5.91,-4,2,64
00:02:44,80.85,39.31,-0.46,-4,3,63
00:02:45,80.88,39.27,-6.38,-5,3,63
00:02:46,80.93,39.27,-11.62,-4,4,63
00:02:47,81.05,39.27,-16,-4,4,62
